,Gene Symbol,cluster_id,feature_importance
902,ICA1,435,0.019390581717451533
1538,PRKAG2,435,0.019390581717451533
157,ATP1B3,435,0.019390581717451533
1444,PHIP,387,0.010560941828254851
777,GPRASP1,387,0.010560941828254851
829,HAUS5,387,0.010560941828254851
866,HMGN2,387,0.010560941828254851
1100,LRRFIP1,387,0.010560941828254851
2047,TRMT5,387,0.010560941828254851
655,FAM46A,387,0.010560941828254851
2113,VPS39,276,0.009349030470914135
1995,TMEM41B,276,0.009349030470914135
1217,MRPL17,276,0.009349030470914135
820,H2AFZ,276,0.009349030470914135
1918,SYBU,276,0.009349030470914135
1843,SNRPG,276,0.009349030470914135
1507,POU6F1,276,0.009349030470914135
881,HPRT1,276,0.009349030470914135
2110,VIPR1,231,0.009002770083102504
220,BTG2,160,0.008483379501385058
1163,MCM6,160,0.008483379501385058
576,EIF1,160,0.008483379501385058
408,COL7A1,160,0.008483379501385058
1830,SNAPC5,407,0.0077908587257618026
692,FLOT2,407,0.0077908587257618026
1935,TBC1D5,407,0.0077908587257618026
2143,YTHDF1,407,0.0077908587257618026
303,CD164,407,0.0077908587257618026
1977,TLR3,407,0.0077908587257618026
1998,TMEM62,407,0.0077908587257618026
275,CAT,407,0.0077908587257618026
158,ATP2A2,407,0.0077908587257618026
1112,LYRM1,407,0.0077908587257618026
1713,RYBP,407,0.0077908587257618026
1145,MARCH8,407,0.0077908587257618026
797,GSTK1,407,0.0077908587257618026
1753,SERINC5,407,0.0077908587257618026
570,EFCAB14,407,0.0077908587257618026
185,BAIAP2,407,0.0077908587257618026
1527,PRDX3,407,0.0077908587257618026
1090,LOXL1,288,0.005193905817174514
1976,TLN2,288,0.005193905817174514
563,ECH1,288,0.005193905817174514
1958,TFPI2,288,0.005193905817174514
462,CYP27B1,288,0.005193905817174514
515,DLD,288,0.005193905817174514
768,GPD1,288,0.005193905817174514
18,ACAT1,288,0.005193905817174514
218,BTD,288,0.005193905817174514
2087,UGGT1,288,0.005193905817174514
1518,PPP2R1B,288,0.005193905817174514
862,HMGB2,392,0.005020775623268713
1353,NUDCD3,392,0.005020775623268713
1151,MBD4,392,0.005020775623268713
2187,ZWILCH,4,0.004847645429362897
983,KDM5A,418,0.004847645429362897
1851,SOCS2,418,0.004847645429362897
1654,RGCC,418,0.004847645429362897
1411,PCF11,291,0.004674515235457102
749,GMNN,291,0.004674515235457102
2044,TRIM62,264,0.0046745152354570815
918,IL11,264,0.0046745152354570815
844,HGD,264,0.0046745152354570815
2083,UBXN7,20,0.004674515235457075
2029,TRAK1,20,0.004674515235457075
1744,SEMA3G,20,0.004674515235457075
709,FTO,198,0.004501385041551266
1924,TACC3,198,0.004501385041551266
1181,MICALL2,198,0.004501385041551266
1836,SNRPA1,333,0.004155124653739642
1352,NUDC,333,0.004155124653739642
1362,OCRL,340,0.004155124653739642
1105,LSM14B,333,0.004155124653739642
340,CDKN3,340,0.004155124653739642
2080,UBE2S,333,0.004155124653739642
1187,MIR4680 /// PDCD4,340,0.004155124653739642
1617,RAD1,340,0.004155124653739642
979,KCTD5,333,0.004155124653739642
744,GK,340,0.004155124653739642
1576,PSMD3,333,0.004155124653739642
2180,ZNF593,333,0.004155124653739642
1679,RPA2,340,0.004155124653739642
348,CELSR1,115,0.0039819944598338194
73,ALOX15B,73,0.0039819944598338194
115,AQP4,115,0.0039819944598338194
200,BIRC2,73,0.0039819944598338194
376,CKAP2,376,0.003808864265928018
1594,PTPRA,339,0.003808864265928004
2025,TPX2,339,0.003808864265928004
538,DNMT3B,339,0.003808864265928004
686,FKBP4,339,0.003808864265928004
43,ADIRF,43,0.003808864265927983
1598,PTRF,43,0.003808864265927983
661,FASTKD1,43,0.003808864265927983
1341,NR3C1,43,0.003808864265927983
1173,MEPE,157,0.0036357340720221606
1832,SNCAIP,266,0.0032894736842105504
553,DTYMK,266,0.0032894736842105504
1974,TK1,266,0.0032894736842105504
1825,SMIM2,253,0.0032894736842105365
1148,MASP1,253,0.0032894736842105365
2089,UGT2A1 /// UGT2A2,253,0.0032894736842105365
909,IFNA16,253,0.0032894736842105365
2093,UNC13B,116,0.0029432132963988986
1002,KIF20B,2,0.0029432132963988986
116,AQP7 /// LOC100509620 /// LOC101930168,116,0.0029432132963988986
1180,MGST3,116,0.0029432132963988986
403,CNTRL,2,0.0029432132963988986
533,DNAJC9,2,0.0029432132963988986
276,CAV1,116,0.0029432132963988986
2141,YME1L1,2,0.0029432132963988986
2188,ZWINT,2,0.0029432132963988986
970,KCNB1,235,0.00277008310249309
2022,TPPP,235,0.00277008310249309
1906,STX11,235,0.00277008310249309
879,HP /// HPR,235,0.00277008310249309
878,HP,235,0.00277008310249309
62,AKAP9,235,0.00277008310249309
235,C19orf80,235,0.00277008310249309
1441,PHC2,112,0.002770083102493069
1357,NUSAP1,112,0.002770083102493069
1578,PSME4,112,0.002770083102493069
1777,SLC11A2,112,0.002770083102493069
2114,VWA5A,357,0.0025969529085872814
444,CTSO,357,0.0025969529085872814
443,CTSG,357,0.0025969529085872814
1817,SLMO2,357,0.0025969529085872814
838,HDC,357,0.0025969529085872814
880,HPGD,357,0.0025969529085872814
394,CMA1,357,0.0025969529085872814
119,ARG2,357,0.0025969529085872814
2023,TPSAB1,357,0.0025969529085872814
724,GATA2,357,0.0025969529085872814
2024,TPSAB1 /// TPSB2,357,0.0025969529085872814
1783,SLC18A2,357,0.0025969529085872814
672,FCER1A,357,0.0025969529085872814
46,ADRA1A,46,0.002596952908587233
257,CABP1,46,0.002596952908587233
1993,TMEM257,289,0.002423822714681445
1062,LINC00623 /// LINC00869,289,0.002423822714681445
1503,PON3,289,0.002423822714681445
1511,PPEF1,289,0.002423822714681445
1686,RPL31,289,0.002423822714681445
237,C1orf106,289,0.002423822714681445
859,HLA-DQA1,289,0.002423822714681445
678,FEZ1,289,0.002423822714681445
1714,RYR3,289,0.002423822714681445
1306,NLE1,289,0.002423822714681445
1506,POU4F1,289,0.002423822714681445
10,ABI3BP,289,0.002423822714681445
2150,ZCWPW1,289,0.002423822714681445
